seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fit_warnings,fallback_reason,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256,evidence_audit_budget,origin_metrics,origin_release
0,audit,D_init,SEX,catchup,catchup,False,False,True,True,120,True,False,2993,"[1512,1481]",True,1440,5,60,359160,0817bb1d32cf428bc8d0d3c942748d6c9dd53594247771b0441d66a4e7b55696,1300000,2000000,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",0.3494791249977425,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,SEX,saved_adversary,saved_adversary,False,False,True,False,120,True,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,RAC1P,logistic,logistic,False,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,110,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.029323291033506393,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,RAC1P,mlp_0,mlp,False,True,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,45,540,359160,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,1260001,1960001,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.422920334036462,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,RAC1P,mlp_1,mlp,False,False,False,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,45,540,359160,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1270001,1970001,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.4226601669797674,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,RAC1P,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.6135277500143275,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,RAC1P,hist_gb_5,histgb,False,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.6567887080600485,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,RAC1P,catchup,catchup,True,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,5,60,359160,3624877d3b4201fe3962bc2b1901c955a75f75204b84ab4226b8daad02481bd2,1300001,2000001,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",0.4456896670162678,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,audit,D_init,RAC1P,saved_adversary,saved_adversary,False,False,True,False,120,True,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102,120,results/redesign_20260908_acs_preservation_v1/extended/seed_0/metrics.json,D_init
0,transfer,C_bottleneck,same_residence,logistic,logistic,False,False,True,False,,True,False,2048,"[500,1548]",True,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.005019917036406696,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,same_residence,mlp,mlp,True,True,True,True,,True,False,2048,"[500,1548]",True,320,40,320,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08700845798011869,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,commute_over20,logistic,logistic,True,True,True,True,,True,False,2048,"[997,1051]",True,9,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0023406670661643147,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,commute_over20,mlp,mlp,False,False,True,False,,True,False,2048,"[997,1051]",True,320,15,120,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.07905133301392198,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,income_binary,logistic,logistic,True,True,True,True,,True,False,2048,"[1652,396]",True,16,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0028439159505069256,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,income_binary,mlp,mlp,False,False,True,False,,True,False,2048,"[1652,396]",True,320,20,160,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08598245901521295,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,civilian_at_work,logistic,logistic,False,False,True,False,,True,False,2048,"[665,1383]",True,12,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0028106248937547207,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,civilian_at_work,mlp,mlp,True,True,True,True,,True,False,2048,"[665,1383]",True,320,20,160,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08197962492704391,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,public_coverage,logistic,logistic,True,True,True,True,,True,False,2048,"[1531,517]",True,15,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0032316669821739197,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,C_bottleneck,public_coverage,mlp,mlp,False,False,True,False,,True,False,2048,"[1531,517]",True,320,15,120,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08103445800952613,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,SEX,logistic,logistic,False,False,True,False,120,True,False,2993,"[1512,1481]",True,13,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0028805830515921116,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,SEX,mlp_0,mlp,False,False,False,False,120,True,False,2993,"[1512,1481]",True,1440,20,240,359160,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,1260000,1960000,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.3484094999730587,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,SEX,mlp_1,mlp,True,True,True,False,120,True,False,2993,"[1512,1481]",True,1440,20,240,359160,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1270000,1970000,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.365908290958032,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,SEX,hist_gb_20,histgb,False,False,True,False,120,True,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.08001150004565716,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,SEX,hist_gb_5,histgb,False,False,False,False,120,True,False,2993,"[1512,1481]",True,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.08311025006696582,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,SEX,catchup,catchup,False,False,True,True,120,True,False,2993,"[1512,1481]",True,1440,5,60,359160,0817bb1d32cf428bc8d0d3c942748d6c9dd53594247771b0441d66a4e7b55696,,2000000,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,SEX,saved_adversary,saved_adversary,False,False,True,False,120,True,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1],""support"":[5391,5122],""known"":10513,""missing"":0,""valid_class_mask"":[true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,ba5650e7628b1abf3c58f1054ef8b3bba6801c253986b2b34a8d583e8a218f2f,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,RAC1P,logistic,logistic,False,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,100,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.02618895808700472,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,RAC1P,mlp_0,mlp,False,False,False,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,35,420,359160,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,1260001,1960001,0,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.43634704197756946,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,RAC1P,mlp_1,mlp,False,True,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,30,360,359160,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1270001,1970001,1,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.40274599997792393,,,,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,RAC1P,hist_gb_20,histgb,False,False,False,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}",0.6149450000375509,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,RAC1P,hist_gb_5,histgb,False,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,0,,,,,,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}",0.6614609999815002,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,RAC1P,catchup,catchup,True,False,True,False,120,True,False,2993,"[1704,173,17,0,4,461,22,424,188]",False,1440,5,60,359160,3624877d3b4201fe3962bc2b1901c955a75f75204b84ab4226b8daad02481bd2,,2000001,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,audit,C_bottleneck,RAC1P,saved_adversary,saved_adversary,False,False,True,False,120,True,True,0,,,0,0,0,0,,,,,"{""input_dim"":16,""hidden"":[64,32],""epochs"":0,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0,""betas"":[0.9,0.999],""eps"":1e-08,""schedule_seed_offset"":700000}",,,,,True,representation_fit,10513,"{""class_schema"":[0,1,2,3,4,5,6,7,8],""support"":[5989,555,90,1,32,1674,49,1527,596],""known"":10513,""missing"":0,""valid_class_mask"":[true,true,true,true,true,true,true,true,true],""schema_complete"":true}",840,210260,10080,2523120,10920,2733380,260,2733380,90dcb5b317356984ad8c84fe14e0b93ed3a569e0c5df315042347a3bc40cf46f,4ca02f63fb5d886049df998c477849ed1adb7b73d012cbfa583eb37324a079fe,74ef61d8ba6c9dde09a5e815deea29cd7cee74ab0a9ee38866a2e40065a1f102,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,C_bottleneck
0,transfer,D_protected,same_residence,logistic,logistic,False,False,True,False,,True,False,2048,"[500,1548]",True,20,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0036059169797226787,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,same_residence,mlp,mlp,True,True,True,True,,True,False,2048,"[500,1548]",True,320,40,320,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08707350003533065,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,commute_over20,logistic,logistic,True,True,True,True,,True,False,2048,"[997,1051]",True,11,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0030815410427749157,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,commute_over20,mlp,mlp,False,False,True,False,,True,False,2048,"[997,1051]",True,320,10,80,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.09432812500745058,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,income_binary,logistic,logistic,True,True,True,True,,True,False,2048,"[1652,396]",True,17,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0031965419184416533,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,income_binary,mlp,mlp,False,False,True,False,,True,False,2048,"[1652,396]",True,320,20,160,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08275304199196398,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,civilian_at_work,logistic,logistic,False,False,True,False,,True,False,2048,"[665,1383]",True,16,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0031053751008585095,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,civilian_at_work,mlp,mlp,True,True,True,True,,True,False,2048,"[665,1383]",True,320,15,120,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08254091697745025,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,public_coverage,logistic,logistic,False,False,True,True,,True,False,2048,"[1531,517]",True,19,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0029825420351698995,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,transfer,D_protected,public_coverage,mlp,mlp,True,True,True,False,,True,False,2048,"[1531,517]",True,320,15,120,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08153070800472051,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
0,audit,D_protected,SEX,logistic,logistic,False,False,True,False,120,True,False,2993,"[1512,1481]",True,18,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.00326941697858274,,[],,,,,,,,,,,,,,,,,120,results/redesign_20260908_acs_preservation_v1/beta_1/seed_0/metrics.json,D_protected
