seed,J,comparator,weight,budget,scope,endpoint,J_minus_comparator,status,reason
0,J,H,PWGTP,120,standard_independent,B/same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,standard_independent,B/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,standard_independent,B/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,standard_independent,AB/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,standard_independent,AB/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,A/public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,A/commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,A/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,A/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,B/income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,B/civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,B/same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,B/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,B/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,AB/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_independent,AB/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,A/public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,A/commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,A/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,A/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,B/income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,B/civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,B/same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,B/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,B/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,AB/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,120,expanded_catchup,AB/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,A/public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,A/commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,A/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,A/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,B/income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,B/civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,B/same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,B/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,B/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,AB/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,standard_independent,AB/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,A/public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,A/commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,A/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,A/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,B/income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,B/civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,B/same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,B/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,B/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,AB/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_independent,AB/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,A/public_coverage,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,A/commute_over20,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,A/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,A/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,B/income_binary,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,B/civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,B/same_residence,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,B/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,B/RAC1P,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,AB/SEX,,unavailable,No unused eligible households; no new outcome scored
0,J,H,PWGTP,360,expanded_catchup,AB/RAC1P,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,income_binary,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,public_coverage,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,same_residence,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,commute_over20,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,A/public_coverage,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,A/commute_over20,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,A/SEX,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,A/RAC1P,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,B/income_binary,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,B/civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,B/same_residence,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,B/SEX,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,B/RAC1P,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,AB/SEX,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,standard_independent,AB/RAC1P,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,expanded_independent,income_binary,,unavailable,No unused eligible households; no new outcome scored
1,J,L025,unweighted,120,expanded_independent,civilian_at_work,,unavailable,No unused eligible households; no new outcome scored
